Step,AgentID,Household_Size,Consumption_Rate,Brand_Preference,Brand_Choice,Loyalty_Rate,Purchase_Probabilities,Enable_Ads,Ad_Decay_Factor,Ad_Channel_Preference,Adstock,Pantry_Min,Pantry_Max,Pantry_Stock,Purchased_This_Step,Current_Price,Last_Product_Price,Step_Min,Step_Max,Units_to_Purchase,Baseline_Units,Incremental_Promo_Units,Incremental_Ad_Units,Decremental_Units,Price_Change
0,18,2,3.8452909803204838,A,,0.7,,True,5.290444159030935,"{'Web': 0.7024810720087575, 'TV': 0.2975189279912424}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,19,2,3.123991723472164,A,,0.7,,True,5.2334710444531565,"{'Web': 0.7056267028349243, 'TV': 0.2943732971650758}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,20,1,3.8730812330384627,B,,0.7,,True,2.9100899508262623,"{'Web': 0.7177461636581044, 'TV': 0.28225383634189555}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,21,1,2.121885039731292,A,,0.7,,True,3.1657601493282153,"{'Web': 0.7007316342716651, 'TV': 0.29926836572833476}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,22,3,2.5806449385945314,A,,0.7,,True,3.18793335595893,"{'Web': 0.6742733428941523, 'TV': 0.3257266571058477}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,23,1,2.45980297492003,B,,0.7,,True,3.8319099013780855,"{'Web': 0.7103689425036576, 'TV': 0.2896310574963424}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,24,2,3.0244547469085155,A,,0.7,,True,4.0219255831497644,"{'Web': 0.7016881923843123, 'TV': 0.29831180761568765}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,25,2,3.2713521828229988,A,,0.7,,True,3.0935052994256718,"{'Web': 0.7168071442946862, 'TV': 0.2831928557053138}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,26,4,4.524166040140084,A,,0.7,,True,4.192537842257185,"{'Web': 0.7193314061593623, 'TV': 0.2806685938406376}","{'A': 1.0, 'B': 1.0}",0.4,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,27,5,4.22783376662013,B,,0.7,,True,3.1376915130631264,"{'Web': 0.6993432641818026, 'TV': 0.3006567358181975}","{'A': 1.0, 'B': 1.0}",0.5,7.0,7.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,28,2,4.293805009264624,A,,0.7,,True,4.010818564116541,"{'Web': 0.695512633636732, 'TV': 0.304487366363268}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,29,1,2.9068660270504543,A,,0.7,,True,3.7387595153279816,"{'Web': 0.7076989881913774, 'TV': 0.29230101180862245}","{'A': 1.0, 'B': 1.0}",0.1,0.1,0.1,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,30,2,4.8227327329267125,A,,0.7,,True,5.260077804125462,"{'Web': 0.711331886247917, 'TV': 0.28866811375208296}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,31,4,2.253435689896199,A,,0.7,,True,3.870638990248946,"{'Web': 0.6840535318558197, 'TV': 0.31594646814418026}","{'A': 1.0, 'B': 1.0}",0.4,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,32,1,2.960295393397534,A,,0.7,,True,3.515008940915096,"{'Web': 0.6681315949995674, 'TV': 0.33186840500043246}","{'A': 1.0, 'B': 1.0}",0.1,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,33,3,4.35758308827046,A,,0.7,,True,1.969606446221702,"{'Web': 0.6727721259057128, 'TV': 0.3272278740942873}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,34,2,2.63754511076544,B,,0.7,,True,3.513089635206444,"{'Web': 0.6728136793782814, 'TV': 0.3271863206217186}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,35,1,2.862572777425947,A,,0.7,,True,5.988489679810551,"{'Web': 0.7082421512678289, 'TV': 0.2917578487321712}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,36,1,3.823152443382739,A,,0.7,,True,2.9874608735876187,"{'Web': 0.6944502095782908, 'TV': 0.30554979042170916}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,37,2,2.86706583564808,A,,0.7,,True,4.388250414284895,"{'Web': 0.7115843663942988, 'TV': 0.28841563360570116}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,38,1,3.392413029518895,A,,0.7,,True,4.818182965754278,"{'Web': 0.6866941382267411, 'TV': 0.3133058617732589}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,39,1,2.788409831037982,A,,0.7,,True,4.393125281258067,"{'Web': 0.712223950843261, 'TV': 0.287776049156739}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,40,2,3.1074157424249176,A,,0.7,,True,3.7784931890862743,"{'Web': 0.6673975841223867, 'TV': 0.3326024158776133}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,41,2,3.561951672422086,A,,0.7,,True,3.70617876216239,"{'Web': 0.6927737534639059, 'TV': 0.3072262465360942}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,42,5,3.4350092581717444,B,,0.7,,True,3.0233465956654446,"{'Web': 0.6760758023143469, 'TV': 0.3239241976856531}","{'A': 1.0, 'B': 1.0}",0.5,6.0,6.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,43,3,3.1334970410228062,A,,0.7,,True,2.7107388061882687,"{'Web': 0.6736602056702519, 'TV': 0.3263397943297481}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,44,3,5.4575876262908505,B,,0.7,,True,4.2224547000877255,"{'Web': 0.702051093758926, 'TV': 0.29794890624107395}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,45,2,3.5935881147911206,A,,0.7,,True,6.070878525776086,"{'Web': 0.7313986331906416, 'TV': 0.2686013668093584}","{'A': 1.0, 'B': 1.0}",0.2,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,46,3,2.8597805420900455,A,,0.7,,True,3.1544464280249302,"{'Web': 0.6864049021984147, 'TV': 0.31359509780158534}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,47,2,1.4974888800500683,B,,0.7,,True,3.762662524468908,"{'Web': 0.7015237297559579, 'TV': 0.29847627024404205}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,48,3,5.1078018084923915,A,,0.7,,True,4.898055934634522,"{'Web': 0.7183300180425447, 'TV': 0.2816699819574554}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,49,2,3.412106505822771,B,,0.7,,True,5.065420181582666,"{'Web': 0.728708043691104, 'TV': 0.2712919563088961}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,50,1,3.464964844592958,B,,0.7,,True,5.562127294895404,"{'Web': 0.7083242789808988, 'TV': 0.29167572101910116}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,51,2,3.505003085707735,A,,0.7,,True,4.282660307376543,"{'Web': 0.7247950093624247, 'TV': 0.27520499063757525}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,52,5,2.805052355615392,B,,0.7,,True,3.7593237678323925,"{'Web': 0.7377015689063735, 'TV': 0.2622984310936266}","{'A': 1.0, 'B': 1.0}",0.5,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,53,1,5.131609334970854,A,,0.7,,True,4.287557650366356,"{'Web': 0.729647258370151, 'TV': 0.270352741629849}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,54,1,2.8592102038878564,A,,0.7,,True,4.780430538410622,"{'Web': 0.6762117076475468, 'TV': 0.32378829235245316}","{'A': 1.0, 'B': 1.0}",0.1,0.1,0.1,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,55,2,1.6967207292471767,A,,0.7,,True,4.362803486217135,"{'Web': 0.6988016754212981, 'TV': 0.3011983245787018}","{'A': 1.0, 'B': 1.0}",0.2,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,56,2,1.9208038124174913,A,,0.7,,True,5.026477941580573,"{'Web': 0.7125977990325543, 'TV': 0.2874022009674456}","{'A': 1.0, 'B': 1.0}",0.2,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,57,4,2.6565787607857536,A,,0.7,,True,3.150392640286989,"{'Web': 0.6588092530914348, 'TV': 0.3411907469085652}","{'A': 1.0, 'B': 1.0}",0.4,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,58,6,4.715036014032808,A,,0.7,,True,3.496931681722697,"{'Web': 0.7052376846307008, 'TV': 0.2947623153692992}","{'A': 1.0, 'B': 1.0}",0.6000000000000001,6.0,6.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,59,1,4.803499168158178,A,,0.7,,True,4.287657228710861,"{'Web': 0.688444231991955, 'TV': 0.31155576800804496}","{'A': 1.0, 'B': 1.0}",0.1,0.1,0.1,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,60,1,6.316269267928702,A,,0.7,,True,3.328529786656551,"{'Web': 0.7261518365727193, 'TV': 0.2738481634272805}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,61,2,4.617138830645304,B,,0.7,,True,4.091034511577335,"{'Web': 0.7135596713723789, 'TV': 0.28644032862762114}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,62,2,4.504911578024711,A,,0.7,,True,4.998741376555207,"{'Web': 0.6867885594366109, 'TV': 0.313211440563389}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,63,2,2.9118432669403,A,,0.7,,True,4.090716773028647,"{'Web': 0.6935643392900942, 'TV': 0.3064356607099059}","{'A': 1.0, 'B': 1.0}",0.2,0.2,0.2,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,64,1,3.551509715818735,A,,0.7,,True,3.090997221178454,"{'Web': 0.6957591065190067, 'TV': 0.3042408934809933}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,65,2,3.3479848780755916,A,,0.7,,True,4.28318592178049,"{'Web': 0.709509894719623, 'TV': 0.2904901052803769}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,66,2,3.4330910645707835,B,,0.7,,True,3.2156099531326623,"{'Web': 0.6811756638141018, 'TV': 0.31882433618589817}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,67,4,3.0358240893300437,B,,0.7,,True,2.054927737826257,"{'Web': 0.7094683626060728, 'TV': 0.2905316373939271}","{'A': 1.0, 'B': 1.0}",0.4,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,68,3,3.2078567983792627,A,,0.7,,True,3.7136915897639438,"{'Web': 0.6823366155111685, 'TV': 0.3176633844888314}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,69,1,4.174424220816608,A,,0.7,,True,4.495580395176891,"{'Web': 0.679839909254148, 'TV': 0.32016009074585206}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,70,4,2.869748159641541,B,,0.7,,True,3.1664770136260882,"{'Web': 0.6948091101778597, 'TV': 0.3051908898221403}","{'A': 1.0, 'B': 1.0}",0.4,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,71,2,3.9700590720187026,A,,0.7,,True,4.231400761021485,"{'Web': 0.6649512411728236, 'TV': 0.3350487588271765}","{'A': 1.0, 'B': 1.0}",0.2,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,72,2,4.068263705855873,A,,0.7,,True,2.2801789876350416,"{'Web': 0.6850168088922823, 'TV': 0.31498319110771766}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,73,2,1.7165477463367556,B,,0.7,,True,3.373585496514123,"{'Web': 0.7175781392109633, 'TV': 0.2824218607890367}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,74,1,4.158547785429704,B,,0.7,,True,3.7494080420629836,"{'Web': 0.7177690349117717, 'TV': 0.2822309650882283}","{'A': 1.0, 'B': 1.0}",0.1,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,75,2,2.777495134886749,A,,0.7,,True,4.079092192711059,"{'Web': 0.701071955440503, 'TV': 0.2989280445594969}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,76,5,3.620878677252199,B,,0.7,,True,3.4345811206813783,"{'Web': 0.7029540702972814, 'TV': 0.2970459297027186}","{'A': 1.0, 'B': 1.0}",0.5,6.0,6.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,77,4,4.860811669176094,A,,0.7,,True,4.2555904857352465,"{'Web': 0.7052248984116215, 'TV': 0.29477510158837855}","{'A': 1.0, 'B': 1.0}",0.4,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,78,3,2.3480797960700572,A,,0.7,,True,5.113417068675933,"{'Web': 0.7018945230945561, 'TV': 0.2981054769054439}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,4.0,4.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,79,1,2.615336824369484,A,,0.7,,True,4.043658688253091,"{'Web': 0.7303899607193723, 'TV': 0.2696100392806276}","{'A': 1.0, 'B': 1.0}",0.1,0.1,0.1,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,80,1,2.747184012383133,A,,0.7,,True,3.4855241857796107,"{'Web': 0.7083336372704805, 'TV': 0.2916663627295195}","{'A': 1.0, 'B': 1.0}",0.1,0.1,0.1,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,81,3,4.0025358367632835,A,,0.7,,True,5.178222101472418,"{'Web': 0.6986444909378912, 'TV': 0.30135550906210873}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,82,4,3.1723856788314224,A,,0.7,,True,4.825206403122511,"{'Web': 0.7036125433318943, 'TV': 0.29638745666810573}","{'A': 1.0, 'B': 1.0}",0.4,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,83,3,4.831362081018575,B,,0.7,,True,3.6624909544827484,"{'Web': 0.6927295592206257, 'TV': 0.3072704407793742}","{'A': 1.0, 'B': 1.0}",0.30000000000000004,5.0,5.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,84,2,3.665905111689865,A,,0.7,,True,4.631468606958337,"{'Web': 0.7224828791634873, 'TV': 0.2775171208365128}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,85,2,3.256560159419808,A,,0.7,,True,3.7174949818987058,"{'Web': 0.6831354020151557, 'TV': 0.31686459798484434}","{'A': 1.0, 'B': 1.0}",0.2,3.0,3.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,86,4,3.2562217764227603,A,,0.7,,True,3.3411683099178786,"{'Web': 0.6731707739329079, 'TV': 0.326829226067092}","{'A': 1.0, 'B': 1.0}",0.4,5.0,5.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,87,1,2.460425387967703,A,,0.7,,True,2.534527911901484,"{'Web': 0.7063060916316627, 'TV': 0.29369390836833725}","{'A': 1.0, 'B': 1.0}",0.1,1.0,1.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
0,88,2,3.0084189037418274,A,,0.7,,True,4.040638789051361,"{'Web': 0.6977748745541886, 'TV': 0.30222512544581137}","{'A': 1.0, 'B': 1.0}",0.2,2.0,2.0,"{'A': 0, 'B': 0}",5.0,,0,0,0,0,0,0,0,no_price_change
