Date,Step,price_A,tv_A,web_A,price_B,tv_B,web_B,Total_Purchases_A,Total_Purchases_B,Total_Sales_A,Total_Sales_B
2023-02-19,111,5.0,125000.0,0.0,5.0,0.0,0.0,715.0,144.0,3575000.0,720000.0
2023-02-26,112,5.0,0.0,0.0,5.0,0.0,0.0,758.0,163.0,3790000.0,815000.0
2023-03-05,113,5.0,0.0,0.0,5.0,0.0,0.0,698.0,123.0,3490000.0,615000.0
2023-03-12,114,5.0,0.0,0.0,5.0,0.0,0.0,727.0,150.0,3635000.0,750000.0
2023-03-19,115,5.0,0.0,0.0,5.0,0.0,0.0,621.0,145.0,3105000.0,725000.0
2023-03-26,116,5.0,0.0,0.0,5.0,0.0,0.0,714.0,140.0,3570000.0,700000.0
2023-04-02,117,5.0,0.0,0.0,5.0,0.0,0.0,557.0,135.0,2785000.0,675000.0
2023-04-09,118,4.5,0.0,0.0,5.0,0.0,0.0,581.0,139.0,2614500.0,695000.0
2023-04-16,119,4.5,0.0,0.0,5.0,0.0,0.0,547.0,150.0,2461500.0,750000.0
2023-04-23,120,4.5,0.0,0.0,5.0,0.0,0.0,715.0,182.0,3217500.0,910000.0
2023-04-30,121,4.5,0.0,0.0,5.0,0.0,0.0,521.0,148.0,2344500.0,740000.0
2023-05-07,122,5.0,0.0,0.0,5.0,0.0,0.0,601.0,167.0,3005000.0,835000.0
2023-05-14,123,5.0,0.0,0.0,5.0,0.0,0.0,621.0,188.0,3105000.0,940000.0
2023-05-21,124,5.0,0.0,0.0,5.0,0.0,0.0,633.0,199.0,3165000.0,995000.0
2023-05-28,125,5.0,0.0,0.0,5.0,0.0,0.0,563.0,175.0,2815000.0,875000.0
2023-06-04,126,5.0,0.0,0.0,5.0,0.0,0.0,634.0,218.0,3170000.0,1090000.0
2023-06-11,127,5.0,0.0,0.0,5.0,0.0,0.0,541.0,189.0,2705000.0,945000.0
2023-06-18,128,5.0,0.0,0.0,5.0,0.0,0.0,644.0,223.0,3220000.0,1115000.0
2023-06-25,129,5.0,0.0,0.0,5.0,0.0,0.0,589.0,186.0,2945000.0,930000.0
2023-07-02,130,5.0,0.0,0.0,5.0,0.0,0.0,603.0,223.0,3015000.0,1115000.0
2023-07-09,131,5.0,0.0,0.0,5.0,0.0,0.0,537.0,189.0,2685000.0,945000.0
2023-07-16,132,5.0,0.0,0.0,5.0,0.0,0.0,628.0,243.0,3140000.0,1215000.0
2023-07-23,133,5.0,0.0,0.0,5.0,0.0,0.0,561.0,190.0,2805000.0,950000.0
2023-07-30,134,5.0,0.0,0.0,5.0,0.0,0.0,604.0,204.0,3020000.0,1020000.0
2023-08-06,135,5.5,0.0,125000.0,5.0,0.0,0.0,592.0,227.0,3256000.0,1135000.0
2023-08-13,136,5.5,0.0,125000.0,5.0,0.0,0.0,1347.0,187.0,7408500.0,935000.0
2023-08-20,137,5.5,0.0,125000.0,5.0,0.0,0.0,715.0,139.0,3932500.0,695000.0
2023-08-27,138,5.5,0.0,125000.0,5.0,0.0,0.0,801.0,157.0,4405500.0,785000.0
2023-09-03,139,5.0,0.0,0.0,5.0,0.0,0.0,671.0,114.0,3355000.0,570000.0
2023-09-10,140,5.0,0.0,0.0,5.0,0.0,0.0,789.0,148.0,3945000.0,740000.0
2023-09-17,141,5.0,0.0,0.0,5.0,0.0,0.0,681.0,138.0,3405000.0,690000.0
2023-09-24,142,5.0,0.0,0.0,5.0,0.0,0.0,709.0,149.0,3545000.0,745000.0
2023-10-01,143,5.0,0.0,0.0,5.0,0.0,0.0,599.0,118.0,2995000.0,590000.0
2023-10-08,144,5.0,0.0,0.0,5.0,0.0,0.0,688.0,191.0,3440000.0,955000.0
2023-10-15,145,5.0,0.0,0.0,5.0,0.0,0.0,548.0,137.0,2740000.0,685000.0
2023-10-22,146,5.0,0.0,0.0,5.0,0.0,0.0,559.0,156.0,2795000.0,780000.0
2023-10-29,147,5.0,0.0,0.0,5.0,0.0,0.0,601.0,150.0,3005000.0,750000.0
2023-11-05,148,5.0,0.0,0.0,5.0,0.0,0.0,642.0,182.0,3210000.0,910000.0
2023-11-12,149,5.0,0.0,0.0,5.0,0.0,0.0,539.0,176.0,2695000.0,880000.0
2023-11-19,150,5.0,0.0,0.0,5.0,0.0,0.0,654.0,187.0,3270000.0,935000.0
2023-11-26,151,5.0,0.0,0.0,5.0,0.0,0.0,552.0,160.0,2760000.0,800000.0
2023-12-03,152,5.0,0.0,0.0,5.0,0.0,0.0,616.0,192.0,3080000.0,960000.0
2023-12-10,153,5.0,0.0,0.0,5.0,0.0,0.0,594.0,220.0,2970000.0,1100000.0
2023-12-17,154,5.0,0.0,0.0,5.0,0.0,0.0,628.0,180.0,3140000.0,900000.0
2023-12-24,155,5.0,0.0,0.0,5.0,0.0,0.0,553.0,199.0,2765000.0,995000.0
